BILL_POID,BILLINFO POID,TOTAL DUE,SUBORDS TOTAL,PREVIOUS TOTAL,DUE,BILL NAME,CREATED DATE,END DATE,BILLING PERIOD,BILL PLAN ID,BDOM,Payment Type,Customer Number,TC STATUS,AUTH RESPONSE STATUS,AUTH_POID,DF PROVISIONING FLAG,BR Transaction ID,Delivery Status,Error Code,Error Descr,INVOICE NUMBER,SUCCESS RESPONSE / FAILURE REASON,BILLING Date,EXEC SUMMARY,,TYPE
8906768,8904720,86.59,86.59,0,0,PIN Bill,42571.69771,42944,Jul-2017 PIN Bill,BP1-109737,28,/payinfo/epayment/dfs,137705808,1,0,36297053,4,305664232558062895,0,0,0,10181101640,10181101640,2017-07-28,Success Revenue,,CONS_O365_Renewal
9053353,9054377,52.55,52.55,0,0,PIN Bill,42577.01356,42944,Jul-2017 PIN Bill,BP1-111558,28,/payinfo/epayment/dfs,622139889,1,0,36328286,4,305664232558035703,0,0,0,10181196698,10181196698,2017-07-28,Success Revenue,,CONS_O365_Renewal
9224991,675720,99.99,99.99,0,0,PIN Bill,42579.14645,42944,Jul-2017 PIN Bill,BP1-5575,28,/payinfo/epayment/dfs,US143087282,1,0,36324605,4,305681824744103923,0,0,0,10181323267,10181323267,2017-07-28,Success Revenue,,CONS_O365_Renewal
8981363,8979315,49.99,49.99,0,0,PIN Bill,42572.58794,42944,Jul-2017 PIN Bill,BP1-110026,28,/payinfo/epayment/dfs,107223105,1,0,36307349,4,305664232558067591,0,0,0,10181101674,10181101674,2017-07-28,Success Revenue,,CONS_O365_Renewal
33160499,8844672,53.11,53.11,0,0,PIN Bill,42914.04649,42944,Jul-2017 PIN Bill,BP1-108384,28,/payinfo/epayment/dfs,622012437,1,0,36289689,4,305664232558036838,0,0,0,10181101551,10181101551,2017-07-28,Success Revenue,,CONS_O365_Renewal
9044241,9047569,49.99,49.99,0,0,PIN Bill,42571.90154,42944,Jul-2017 PIN Bill,BP1-109833,28,/payinfo/epayment/dfs,132586690,1,0,36308629,4,305664232558026088,0,0,0,10181101519,10181101519,2017-07-28,Success Revenue,,CONS_O365_Renewal
33128458,8318478,69.99,69.99,0,0,PIN Bill,42914.04647,42944,Jul-2017 PIN Bill,BP1-103325,28,/payinfo/epayment/dfs,124684418,1,0,36326653,4,305681824744099110,0,0,0,10181323259,10181323259,2017-07-28,Success Revenue,,CONS_O365_Renewal
9209961,9207913,99.99,99.99,0,0,PIN Bill,42579.51749,42944,Jul-2017 PIN Bill,BP1-112555,28,/payinfo/epayment/dfs,97697831,1,0,36300588,4,305664232558025064,0,0,0,10181101498,10181101498,2017-07-28,Success Revenue,,CONS_O365_Renewal
33157642,8870772,54.11,54.11,0,0,PIN Bill,42914.04649,42944,Jul-2017 PIN Bill,BP1-108710,28,/payinfo/epayment/dfs,622086319,1,0,36287641,4,305664232558074569,0,0,0,10181165265,10181165265,2017-07-28,Success Revenue,,CONS_O365_Renewal
9165486,9163438,99.99,99.99,0,0,PIN Bill,42579.1817,42944,Jul-2017 PIN Bill,BP1-112456,28,/payinfo/epayment/dfs,130644001,1,0,36273694,4,305664232558037476,0,0,0,10181127255,10181127255,2017-07-28,Success Revenue,,CONS_O365_Renewal
8521650,8522674,49.99,49.99,0,0,PIN Bill,42564.63595,42944,Jul-2017 PIN Bill,BP1-106771,28,/payinfo/epayment/dfs,622036799,1,0,36332111,4,305664232558033245,0,0,0,10181165177,10181165177,2017-07-28,Success Revenue,,CONS_O365_Renewal
33120379,8459478,69.99,69.99,0,0,PIN Bill,42914.04648,42944,Jul-2017 PIN Bill,BP1-105988,28,/payinfo/epayment/dfs,122159772,1,0,36327361,4,305664232558031490,0,0,0,10181196680,10181196680,2017-07-28,Success Revenue,,CONS_O365_Renewal
9017313,9018337,53.49,53.49,0,0,PIN Bill,42576.9044,42944,Jul-2017 PIN Bill,BP1-111516,28,/payinfo/epayment/dfs,121815040,1,0,36345171,4,305681824744134930,0,0,0,10181323283,10181323283,2017-07-28,Success Revenue,,CONS_O365_Renewal
8973336,8971288,52.99,52.99,0,0,PIN Bill,42571.89444,42944,Jul-2017 PIN Bill,BP1-109823,28,/payinfo/epayment/dfs,119851603,1,0,36299503,4,305664232558054578,0,0,0,10181165222,10181165222,2017-07-28,Success Revenue,,CONS_O365_Renewal
9131725,3764547,106.49,106.49,0,0,PIN Bill,42579.14653,42944,Jul-2017 PIN Bill,BP1-46182,28,/payinfo/epayment/dfs,123350328,1,0,36332278,4,305664232558011691,0,0,0,10181127183,10181127183,2017-07-28,Success Revenue,,CONS_O365_Renewal
8532798,8535358,53.61,53.61,0,0,PIN Bill,42564.46111,42944,Jul-2017 PIN Bill,BP1-106658,28,/payinfo/epayment/dfs,142418887,1,0,36326337,4,305664232558066631,0,0,0,10181127327,10181127327,2017-07-28,Success Revenue,,CONS_O365_Renewal
8847847,8851175,52.99,52.99,0,0,PIN Bill,42567.85984,42944,Jul-2017 PIN Bill,BP1-107531,28,/payinfo/epayment/dfs,108986619,1,0,36300957,4,305664232558029793,0,0,0,10181127239,10181127239,2017-07-28,Success Revenue,,CONS_O365_Renewal
8949313,8947265,69.99,69.99,0,0,PIN Bill,42570.67087,42944,Jul-2017 PIN Bill,BP1-109291,28,/payinfo/epayment/dfs,622074220,1,0,36298991,4,305664232558044266,0,0,0,10181165206,10181165206,2017-07-28,Success Revenue,,CONS_O365_Renewal
33151097,8966312,54.86,54.86,0,0,PIN Bill,42914.0465,42944,Jul-2017 PIN Bill,BP1-109829,28,/payinfo/epayment/dfs,622096727,1,0,36299948,4,305664232558056318,0,0,0,10181165230,10181165230,2017-07-28,Success Revenue,,CONS_O365_Renewal
9120292,9118244,54.36,54.36,0,0,PIN Bill,42576.57234,42944,Jul-2017 PIN Bill,BP1-111320,28,/payinfo/epayment/dfs,110048600,1,0,36291058,4,305664232558079920,0,0,0,10181165273,10181165273,2017-07-28,Success Revenue,,CONS_O365_Renewal
33116917,8917037,86.59,86.59,0,0,PIN Bill,42914.04649,42944,Jul-2017 PIN Bill,BP1-108644,28,/payinfo/epayment/dfs,622083565,1,0,36302636,4,305664232558038870,0,0,0,10181165193,10181165193,2017-07-28,Success Revenue,,CONS_O365_Renewal
33143788,9155345,86.59,86.59,0,0,PIN Bill,42914.0465,42944,Jul-2017 PIN Bill,BP1-112281,28,/payinfo/epayment/dfs,139383159,1,0,36304023,4,305664232558063605,0,0,0,10181101658,10181101658,2017-07-28,Success Revenue,,CONS_O365_Renewal
8668152,8670712,49.99,49.99,0,0,PIN Bill,42564.8065,42944,Jul-2017 PIN Bill,BP1-106863,28,/payinfo/epayment/dfs,138018086,1,0,36325313,4,305664232558052419,0,0,0,10181127298,10181127298,2017-07-28,Success Revenue,,CONS_O365_Renewal
33132136,8576144,99.99,99.99,0,0,PIN Bill,42914.04648,42944,Jul-2017 PIN Bill,BP1-105316,28,/payinfo/epayment/dfs,143120424,1,0,36333876,4,305664232558025603,0,0,0,10181127212,10181127212,2017-07-28,Success Revenue,,CONS_O365_Renewal
33140639,8984053,74.19,74.19,0,0,PIN Bill,42914.04649,42944,Jul-2017 PIN Bill,BP1-109755,28,/payinfo/epayment/dfs,143031078,1,0,36294386,4,305664232558026026,0,0,0,10181101500,10181101500,2017-07-28,Success Revenue,,CONS_O365_Renewal
8506937,8504889,49.99,49.99,0,0,PIN Bill,42563.6092,42944,Jul-2017 PIN Bill,BP1-106090,28,/payinfo/epayment/dfs,31390298,1,0,36315993,4,305664232558060045,0,0,0,10181101623,10181101623,2017-07-28,Success Revenue,,CONS_O365_Renewal
